NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,SOURCE,WEBSITE,OWNER,BEDS,HELIPAD
TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,2222 WELBORN STREET,DALLAS,TX,75219,NOT AVAILABLE,(214) 559-5000,CHILDREN,OPEN,100,DALLAS,USA,32.8019769,-96.81431331,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.tsrhc.org,NON-PROFIT,100,Y
CHILDRENS MEDICAL CENTER PLANO,7601 PRESTON ROAD,PLANO,TX,75024,NOT AVAILABLE,(469) 303-7000,CHILDREN,OPEN,72,COLLIN,USA,33.078530492,-96.800444967,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.childrens.com/location-landing/locations-and-directions/childrens-health-plano,PROPRIETARY,72,Y
SHRINERS HOSPITAL FOR CHILDREN,911 W. 5TH AVENUE,SPOKANE,WA,99204,NOT AVAILABLE,(509) 455-7844,CHILDREN,OPEN,30,SPOKANE,USA,47.650902412,-117.425671156,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,http://www.shrinershospitalsforchildren.org/,NON-PROFIT,30,Y
LARABIDA CHILDREN'S HOSPITAL,EAST 65TH AT LAKE MICHIGAN,CHICAGO,IL,60649,NOT AVAILABLE,(773) 363-6700,CHILDREN,OPEN,-999,COOK,USA,41.777293335,-87.571312434,https://data.illinois.gov/,http://www.larabida.org/,NON-PROFIT,-999,N
SHRINERS HOSPITAL FOR CHILDREN - CHICAGO,2211 NORTH OAK PARK AVENUE,CHICAGO,IL,60707,NOT AVAILABLE,(773) 622-5400,CHILDREN,OPEN,36,COOK,USA,41.919838038,-87.793422515,https://data.illinois.gov/,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Chic ago.aspx,NON-PROFIT,36,N
EAST TENNESSEE CHILDREN'S HOSPITAL,2018 CLINCH AVENUE,KNOXVILLE,TN,37916,NOT AVAILABLE,(865) 541-8000,CHILDREN,OPEN,152,KNOX,USA,35.956288166,-83.937674777,https://apps.health.tn.gov/FacilityListings,http://www.etch.com,NON-PROFIT,152,Y
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,262 DANNY THOMAS PLACES,MEMPHIS,TN,38105,NOT AVAILABLE,(901) 595-3301,CHILDREN,OPEN,80,SHELBY,USA,35.154215851,-90.042902229,https://apps.health.tn.gov/FacilityListings,https://www.stjude.org/,NON-PROFIT,80,N
SAN JORGE CHILDRENS HOSPITAL,252 SAN JORGE STREET SANTURCE,SAN JUAN,PR,914,NOT AVAILABLE,(787) 727-1000,CHILDREN,OPEN,125,SAN JUAN,PRI,18.4471351,-66.062936022,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.sanjorgechildrenshospital.com,PROPRIETARY,125,N
BOYS TOWN NATIONAL RESEARCH HOSPITAL,555 NORTH 30TH ST,OMAHA,NE,68131,NOT AVAILABLE,(402) 498-6362,CHILDREN,OPEN,31,DOUGLAS,USA,41.264241294,-95.955888486,http://dhhs.ne.gov/publichealth/Documents/Hospital%20Roster.pdf,http://www.boystownhospital.org,NON-PROFIT,31,Y
CHILDREN'S HOSPITAL COLORADO AT ST JOSEPHS HOSP,1830 FRANKLIN STREET,DENVER,CO,80218,NOT AVAILABLE,(720) 777-1360,CHILDREN,CLOSED,-999,DENVER,USA,39.745251791,-104.968042951,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,NOT AVAILABLE,NON-PROFIT,-999,N
CHILDREN'S HOSPITAL COLORADO AT MEMORIAL HOSPITAL CENTRAL,1400 EAST BOULDER STREET,COLORADO SPRINGS,CO,80909,NOT AVAILABLE,(719) 365-5000,CHILDREN,OPEN,-999,EL PASO,USA,38.839799751,-104.799477406,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,NOT AVAILABLE,NOT AVAILABLE,-999,Y
ST MARY'S MEDICAL CENTER,901 45TH ST,WEST PALM BEACH,FL,33407,NOT AVAILABLE,(561) 844-6300,GENERAL ACUTE CARE,OPEN,460,PALM BEACH,USA,26.755871143,-80.062462031,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.stmarysmc.com,PROPRIETARY,460,Y
CHILDREN'S HOSPITAL OF ALABAMA,"1600 SEVENTH AVENUE, SOUTH",BIRMINGHAM,AL,35233,NOT AVAILABLE,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,USA,33.504048154,-86.80515914,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.childrensal.org,NON-PROFIT,332,Y
PUERTO RICO CHILDRENS HOSPITAL,CARR. 2 KM 11.7 INTERIOR BO. PAJAROS,BAYAMON,PR,960,NOT AVAILABLE,(787) 474-8282,CHILDREN,OPEN,150,BAYAMON,PRI,18.396814758,-66.163448901,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.puertoricochildrenshospital.com/home.php,PROPRIETARY,150,N
K HOVNANIAN CHILDRENS HOSPITAL,1945 STATE ROUTE 33,NEPTUNE,NJ,7753,NOT AVAILABLE,(732) 775-5500,CHILDREN,OPEN,-999,MONMOUTH,USA,40.208187939,-74.039628383,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.khovnanianchildrenshospital.com/KHCH/,NON-PROFIT,-999,Y
KOSAIR CHILDREN'S HOSPITAL,231 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,271,JEFFERSON,USA,38.248470297,-85.74959418,https://chfs.ky.gov/agencies/os/oig/dhc/Documents/Directories/Hospital_Directory.pdf,http://www.kosairchildrenshospital.com/,NON-PROFIT,271,Y
EL PASO CHILDREN'S HOSPITAL,4845 ALAMEDA AVENUE,EL PASO,TX,79905,NOT AVAILABLE,(915) 242-8600,CHILDREN,OPEN,122,EL PASO,USA,31.771501197,-106.433794967,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,NOT AVAILABLE,NON-PROFIT,122,Y
BAYLOR SCOTT & WHITE MCLANE CHILDREN'S MEDICAL CENTER,1901 SOUTHWEST H. K. DODGEN LOOP,TEMPLE,TX,76502,NOT AVAILABLE,(254) 771-8600,CHILDREN,OPEN,64,BELL,USA,31.072549889,-97.375465063,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.swchildrens.org/Pages/locations/hospital.aspx,NON-PROFIT,64,Y
KAPIOLANI MEDICAL CENTER,1319 PUNAHOU ST,HONOLULU,HI,96826,NOT AVAILABLE,(808) 983-6000,CHILDREN,OPEN,225,HONOLULU,USA,21.3003561,-157.833736467,https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn/data,http://www.shrinershospitalsforchildren.org/locations/honolulu,NON-PROFIT,225,N
BOSTON CHILDREN'S,9 HOPE AVENUE,WALTHAM,MA,2254,NOT AVAILABLE,(781) 355-8555,CHILDREN,OPEN,11,MIDDLESEX,USA,42.369124,-71.249607,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.childrenshospital.org/,NON-PROFIT,11,N
ARKANSAS CHILDREN'S HOSPITAL,"1 CHILDREN'S WAY, SLOT 301",LITTLE ROCK,AR,72202,NOT AVAILABLE,(501) 364-1100,CHILDREN,OPEN,280,PULASKI,USA,34.743236351,-92.293176688,http://www.healthy.arkansas.gov/programsServices/hsLicensingRegulation/HealthFacilityServices/Pages/ProviderLists.aspx,NOT AVAILABLE,NOT AVAILABLE,280,Y
CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CTR. RD., 5TH FL",MISSION VIEJO,CA,92691,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,54,ORANGE,USA,33.56040427,-117.665822597,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.choc.org,NON-PROFIT,54,Y
CHILDREN'S MERCY  SOUTH,5808 W 110TH STREET,OVERLAND PARK,KS,66212,NOT AVAILABLE,(913) 696-8000,GENERAL ACUTE CARE,OPEN,45,JOHNSON,USA,38.929856325,-94.652393132,http://www.kdheks.gov/bhfr/fac_list/,http://www.childrens-mercy.org,NON-PROFIT,45,Y
HUGHES SPALDING CHILDREN'S HOSPITAL,1711 TULLIE CIRCLE NE,ATLANTA,GA,30329,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,24,DEKALB,USA,33.831792319,-84.330333316,http://www.gamap2care.info/,NOT AVAILABLE,NOT AVAILABLE,24,N
TOTALLY KIDS REHABILITATION CENTER,1720 MOUNTAIN VIEW AVE,LOMA LINDA,CA,92354,NOT AVAILABLE,(909) 796-6915,CHILDREN,OPEN,81,SAN BERNARDINO,USA,34.070232449,-117.244697509,http://www.oshpd.ca.gov/HID/Facility-Listing.html,https://totallykids.com/,PROPRIETARY,81,N
RADY CHILDREN'S HOSPITAL - SAN DIEGO,3020 CHILDREN'S WAY,SAN DIEGO,CA,92123,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,522,SAN DIEGO,USA,32.797958525,-117.151301032,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.rchsd.org,NON-PROFIT,522,Y
CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,CA,94609,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,190,ALAMEDA,USA,37.837037361,-122.267420721,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.childrenshospitaloakland.org,NON-PROFIT,190,Y
CHILDREN'S HOSPITAL OF LOS ANGELES,4650 SUNSET BOULEVARD,LOS ANGELES,CA,90027,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,495,LOS ANGELES,USA,34.097630138,-118.291037592,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.chla.org,NON-PROFIT,495,Y
CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,3777 SOUTH BASCOM AVENUE,CAMPBELL,CA,95008,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,31,SANTA CLARA,USA,37.259757386,-121.947554048,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://pedisubacute.com/,NON-PROFIT,31,N
CENTURA HEALTH - ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,NOT AVAILABLE,(720) 321-0000,CHILDREN,OPEN,222,JEFFERSON,USA,39.716209038,-105.129280051,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,http://www.stanthonyhosp.org,NON-PROFIT,222,Y
CHILDRENS HEALTHCARE OF ATLANTA - EGLESTON,1405 CLIFTON ROAD NE,DRUID HILLS,GA,30322,NOT AVAILABLE,(404) 785-5437,CHILDREN,OPEN,258,DEKALB,USA,33.793570675,-84.319650101,http://www.gamap2care.info/,http://www.choa.org/egleston,NON-PROFIT,258,Y
SHRINERS HOSPITALS FOR CHILDREN-SHREVEPORT,3100 SAMFORD AVE,SHREVEPORT,LA,71103,NOT AVAILABLE,(318) 222-5704,CHILDREN,OPEN,45,CADDO,USA,32.481055081,-93.757578305,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Shreveport.aspx,NON-PROFIT,45,N
CHILDREN'S HOSPITAL OF ORANGE COUNTY,1201 WEST LA VETA AVENUE,ORANGE,CA,92868,NOT AVAILABLE,(714) 997-3000,CHILDREN,OPEN,279,ORANGE,USA,33.780810134,-117.865776461,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.choc.org,NON-PROFIT,279,Y
CONNECTICUT CHILDRENS MEDICAL CENTER,282 WASHINGTON STREET,HARTFORD,CT,6106,NOT AVAILABLE,(860) 545-9000,CHILDREN,OPEN,187,HARTFORD,USA,41.753667805,-72.681800095,https://www.elicense.ct.gov/Lookup/GenerateRoster.aspx,http://www.ccmckids.org,NON-PROFIT,187,Y
UVA KLUGE CHILDRENS REHABILITATION CENTER,2270 IVY ROAD,CHARLOTTESVILLE,VA,22901,NOT AVAILABLE,(434) 924-5161,CHILDREN,CLOSED,19,ALBEMARLE,USA,38.045266479,-78.520604198,http://www.vdh.virginia.gov/OLC/acutecare/hospitals.htm,http://www.healthsystem.virginia.edu/internet/pediatrics/kcrc/,PROPRIETARY,19,N
CHILDREN'S HOSPITAL OF RICHMOND AT VCU (BROOK ROAD),2924 BROOK ROAD,RICHMOND,VA,23220,NOT AVAILABLE,(804) 321-7470,CHILDREN,CLOSED,36,RICHMOND CITY,USA,37.570901335,-77.45083318,http://www.vdh.virginia.gov/OLC/acutecare/hospitals.htm,www.childrenshosp-richmond.org,NON-PROFIT,36,N
SHRINERS HOSPITALS FOR CHILDREN,815 MARKET STREET,GALVESTON,TX,77550,NOT AVAILABLE,(409) 770-6600,CHILDREN,OPEN,30,GALVESTON,USA,29.309494897,-94.776990952,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Galveston.aspx,NON-PROFIT,30,N
OUR CHILDREN'S HOUSE AT BAYLOR,3301 SWISS AVENUE,DALLAS,TX,75204,NOT AVAILABLE,(214) 820-9710,CHILDREN,CLOSED,54,DALLAS,USA,32.791526131,-96.783472179,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.baylorhealth.com/PhysiciansLocations/OCH/Pages/Default.aspx,NON-PROFIT,54,N
TEXAS CHILDREN'S HOSPITAL WEST CAMPUS,18200 KATY FREEWAY,HOUSTON,TX,77094,NOT AVAILABLE,(832) 227-1000,CHILDREN,OPEN,62,HARRIS,USA,29.787756246,-95.69305012,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.texaschildrens.org/departments/texas-childrens-hospital-west-campus,NON-PROFIT,62,Y
BRISTOL MYERS SQUIBB CHILDRENS HOSPITAL,1 ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,NOT AVAILABLE,(732) 253-3300,CHILDREN,OPEN,-999,MIDDLESEX,USA,40.495845063,-74.448886364,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.bmsch.org/,NON-PROFIT,-999,Y
SHODAIR CHILDRENS HOSPITAL,2755 COLONIAL DR,HELENA,MT,59604,NOT AVAILABLE,(406) 444-7500,CHILDREN,OPEN,20,LEWIS AND CLARK,USA,46.582428972,-111.988892825,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.shodairhospital.org,NON-PROFIT,20,N
UNIVERSITY OF SOUTH ALABAMA CHILDREN'S AND WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,3391,(251) 415-1000,CHILDREN,OPEN,152,MOBILE,USA,30.697683817,-88.07780764,http://dph1.adph.state.al.us/FacilitiesDirectory,NOT AVAILABLE,GOVERNMENT - STATE,152,Y
PRIMARY CHILDREN'S MEDICAL CENTER,100 MARIO CAPECCHI DRIVE,SALT LAKE CITY,UT,84113,NOT AVAILABLE,(801) 662-1000,CHILDREN,OPEN,289,SALT LAKE,USA,40.771287264,-111.838804691,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.intermountainhealthcare.org,NON-PROFIT,289,Y
CUMBERLAND HOSPITAL FOR CHILDREN AND ADOLESCENTS,9407 CUMBERLAND ROAD,NEW KENT,VA,23124,NOT AVAILABLE,(804) 966-2240,CHILDREN,OPEN,110,NEW KENT,USA,37.54635996,-76.978540517,http://www.vhi.org,http://cumberlandhospital.com/,PROPRIETARY,110,N
OUR CHILDRENS HOUSE,1340 EMPIRE CENTRAL DRIVE,DALLAS,TX,75247,NOT AVAILABLE,(214) 867-6700,CHILDREN,OPEN,39,DALLAS,USA,32.825920167,-96.869608346,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.childrens.com/location-landing/locations-and-directions/och/dallas,PROPRIETARY,39,N
TEXAS CHILDRENS HOSPITAL THE WOODLANDS,17600 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,77384,NOT AVAILABLE,(936) 267-5000,CHILDREN,OPEN,60,MONTGOMERY,USA,30.200519303,-95.457573972,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.texaschildrens.org/departments/texas-childrens-hospital-woodlands,NON-PROFIT,60,Y
CHILDREN'S HOSPITAL NAVICENT HEALTH,888 PINE STREET,MACON,GA,31201,NOT AVAILABLE,(478) 633-5437,CHILDREN,CLOSED,112,BIBB,USA,32.834729052,-83.636669864,http://167.193.144.247/,http://www.childrenshospitalmacon.org/,GOVERNMENT - DISTRICT/AUTHORITY,112,Y
ST. LOUIS CHILDREN'S HOSPITAL,ONE CHILDREN'S PLACE,ST. LOUIS,MO,63110,NOT AVAILABLE,(314) 454-6000,CHILDREN,OPEN,274,ST. LOUIS CITY,USA,38.638943846,-90.264171158,http://health.mo.gov/safety/healthservregs/directories.php,http://www.stlouischildrens.org,NON-PROFIT,274,Y
SHRINERS HOSPITAL FOR CHILDREN,356 NORTH VIRGINIA STREET,SALT LAKE CITY,UT,84103,NOT AVAILABLE,(801) 536-3500,CHILDREN,OPEN,40,SALT LAKE,USA,40.777436506,-111.850430402,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/SaltL akeCity.aspx,NON-PROFIT,40,N
LIFESCAPE,2501 WEST 26TH STREET,SIOUX FALLS,SD,57105,2498,(605) 444-9500,CHILDREN,OPEN,18,MINNEHAHA,USA,43.528755646,-96.755304131,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,https://www.lifescapesd.org/,NON-PROFIT,18,N
CHILDREN'S HOSPITAL OF THE KINGS DAUGHTERS,601 CHILDRENS LANE,NORFOLK,VA,23507,NOT AVAILABLE,(757) 668-7000,CHILDREN,OPEN,206,NORFOLK,USA,36.862520743,-76.301676227,http://www.vhi.org,www.chkd.org,NON-PROFIT,206,Y
DRISCOLL CHILDREN'S HOSPITAL,3533 SOUTH ALAMEDA STREET,CORPUS CHRISTI,TX,78404,NOT AVAILABLE,(361) 694-5010,CHILDREN,OPEN,189,NUECES,USA,27.748510416,-97.386284838,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.driscollchildrens.org,NON-PROFIT,189,Y
